Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Alt Text,SEO Title,SEO Description,Cost per item
mapepe-detangling-brush-pocket-size,,,,,,,KY-10007-1,371.97,,TRUE,TRUE,100,deny,,,,,
mapepe-natural-mix-brush-mini,MAPEPE Natural Mix Brush (Mini),"<p><strong>The Skin Boutique Curates: MAPEPE Natural Mix Brush (Mini)</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Natural Mix Brush (Mini) by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10008,619.95,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeNaturalMixBrush.png?v=1775528631,MAPEPE - MAPEPE Natural Mix Brush (Mini),MAPEPE Natural Mix Brush (Mini) | The Skin Boutique,The Skin Boutique Curates: MAPEPE Natural Mix Brush (Mini) Experience the best of K-Beauty with MAPEPE Natural Mix Brush (Mini) by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty i,321.75
mapepe-natural-mix-roll-brush,MAPEPE Natural Mix Roll Brush,"<p><strong>The Skin Boutique Curates: MAPEPE Natural Mix Roll Brush</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Natural Mix Roll Brush by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10009,743.94,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeNaturalMixRollBrush_1.png?v=1775524618,MAPEPE - MAPEPE Natural Mix Roll Brush,MAPEPE Natural Mix Roll Brush | The Skin Boutique,The Skin Boutique Curates: MAPEPE Natural Mix Roll Brush Experience the best of K-Beauty with MAPEPE Natural Mix Roll Brush by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in So,386.10
mapepe-anti-static-blow-brush,MAPEPE Anti-Static Blow Brush,"<p><strong>The Skin Boutique Curates: MAPEPE Anti-Static Blow Brush</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Anti-Static Blow Brush by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10010,537.29,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeAnti-StaticBlowBrush.png?v=1775524171,MAPEPE - MAPEPE Anti-Static Blow Brush,MAPEPE Anti-Static Blow Brush | The Skin Boutique,The Skin Boutique Curates: MAPEPE Anti-Static Blow Brush Experience the best of K-Beauty with MAPEPE Anti-Static Blow Brush by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in So,278.85
mapepe-natural-mix-roll-brush-mini,MAPEPE Natural Mix Roll Brush (Mini),"<p><strong>The Skin Boutique Curates: MAPEPE Natural Mix Roll Brush (Mini)</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Natural Mix Roll Brush (Mini) by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10011,619.95,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeNaturalMixRollBrush.png?v=1775522958,MAPEPE - MAPEPE Natural Mix Roll Brush (Mini),MAPEPE Natural Mix Roll Brush (Mini) | The Skin Boutique,The Skin Boutique Curates: MAPEPE Natural Mix Roll Brush (Mini) Experience the best of K-Beauty with MAPEPE Natural Mix Roll Brush (Mini) by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium ,321.75
mapepe-bathtime-scalp-cushion-cleansing,MAPEPE Bathtime Scalp Cushion Cleansing,"<p><strong>The Skin Boutique Curates: MAPEPE Bathtime Scalp Cushion Cleansing</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Bathtime Scalp Cushion Cleansing by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10012,454.63,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeScalpCushionCleansingBrush.png?v=1775523824,MAPEPE - MAPEPE Bathtime Scalp Cushion Cleansing,MAPEPE Bathtime Scalp Cushion Cleansing | The Skin Boutique,The Skin Boutique Curates: MAPEPE Bathtime Scalp Cushion Cleansing Experience the best of K-Beauty with MAPEPE Bathtime Scalp Cushion Cleansing by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for pr,235.95
mapepe-spring-hair-gum-2-pcs,MAPEPE Spring Hair Gum (2 PCs),"<p><strong>The Skin Boutique Curates: MAPEPE Spring Hair Gum (2 PCs)</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Spring Hair Gum (2 PCs) by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Accessory,"kbeauty, MAPEPE, Hair Accessory",TRUE,KY-10013,165.32,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeSpringHairGum.png?v=1775523453,MAPEPE - MAPEPE Spring Hair Gum (2 PCs),MAPEPE Spring Hair Gum (2 PCs) | The Skin Boutique,The Skin Boutique Curates: MAPEPE Spring Hair Gum (2 PCs) Experience the best of K-Beauty with MAPEPE Spring Hair Gum (2 PCs) by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in ,85.80
k-secret-seoul-instant-relief-eye-gel-patches-60-pcs,K-SECRET SEOUL Instant Relief Eye Gel Patches (60 PCs),"<p><strong>The Skin Boutique Curates: K-SECRET SEOUL Instant Relief Eye Gel Patches (60 PCs)</strong></p>
<p>K-SECRET Instant Relief Eye Gel Patches are infused with Caffeine to target puffiness, dark circles, and dullness. These cooling hydrogel patches deliver a quick, revitalizing boost to the under-eye area, helping to deflate eye bags, soothe sensitive skin, and visibly brighten fatigued eyes. Caffeine’s antioxidant and anti-inflammatory properties help improve microcirculation, reducing swelling and enhancing skin firmness. These multi-tasking patches are also great for targeting fine lines, sagging wrinkles, and dull spots — not just under the eyes, but also on areas like the forehead, smile lines, and neck.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",K-SECRET SEOUL 1988,Eye Patch,"kbeauty, K-SECRET SEOUL 1988, Eye Patch",TRUE,KY-10014,826.59,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/K-SecretInstantReliefEyeGelPatchesWithCaffeine60pcs.png?v=1775573973,K-SECRET SEOUL 1988 - K-SECRET SEOUL Instant Relief Eye Gel Patches (60 PCs),K-SECRET SEOUL Instant Relief Eye Gel Patches (60 PCs) | The Skin Boutique,"The Skin Boutique Curates: K-SECRET SEOUL Instant Relief Eye Gel Patches (60 PCs) K-SECRET Instant Relief Eye Gel Patches are infused with Caffeine to target puffiness, dark circles, and dullness. These cooling hydrogel patches deliver a quick, revitalizing boost to the under-eye area, helping to deflate eye bags, soot",429.00
k-secret-seoul-extra-illuminating-eye-gel-patches-60-pcs,K-SECRET SEOUL Extra Illuminating Eye Gel Patches (60 PCs),"<p><strong>The Skin Boutique Curates: K-SECRET SEOUL Extra Illuminating Eye Gel Patches (60 PCs)</strong></p>
<p>K-SECRET Extra Illuminating Eye Gel Patches are the perfect solution to combat signs of fatigue and dark circles around the eyes. These patches feature a formula enriched with Vitamin C, which helps brighten skin tone and boost its natural radiance , along with moisturizing and soothing ingredients that soothe sensitive skin and instantly reduce puffiness. Thanks to their luxurious gel texture, they provide a cooling and refreshing sensation upon application, making them ideal for daily care or a quick application before special occasions.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",K-SECRET SEOUL 1988,Eye Patch,"kbeauty, K-SECRET SEOUL 1988, Eye Patch",TRUE,KY-10015,826.59,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ksecretextra-illuminating-eye-gel-patches-vitamin-c-102g-230902_1024x1024-removebg-preview.png?v=1775572772,K-SECRET SEOUL 1988 - K-SECRET SEOUL Extra Illuminating Eye Gel Patches (60 PCs),K-SECRET SEOUL Extra Illuminating Eye Gel Patches (60 PCs) | The Skin Boutique,"The Skin Boutique Curates: K-SECRET SEOUL Extra Illuminating Eye Gel Patches (60 PCs) K-SECRET Extra Illuminating Eye Gel Patches are the perfect solution to combat signs of fatigue and dark circles around the eyes. These patches feature a formula enriched with Vitamin C, which helps brighten skin tone and boost its na",429.00
k-secret-advanced-regenerating-eye-gel-patches-60-pcs,K-SECRET Advanced Regenerating Eye Gel Patches (60 PCs),"<p><strong>The Skin Boutique Curates: K-SECRET Advanced Regenerating Eye Gel Patches (60 PCs)</strong></p>
<p>K-SECRET Advanced Regenerating Eye Gel Patches are soothing patches that deliver deep hydration and a refreshed look, helping to smooth and brighten the delicate skin under your eyes. Formulated with pure retinol, hyaluronic acid, collagen, niacinamide, and powerful antioxidants, these patches reduce wrinkles and fine lines, firm the delicate skin around the eyes, minimize puffiness and dark circles, and deliver deep, intense hydration. Their soft gel texture and cooling effect make them a luxurious and relaxing experience, leaving your eyes looking brighter and more vibrant in minutes.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",K-SECRET SEOUL 1988,Eye Patch,"kbeauty, K-SECRET SEOUL 1988, Eye Patch",TRUE,KY-10016,661.28,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ezgif-5511d4cbd9d46c-removebg-preview.png?v=1775571388,K-SECRET SEOUL 1988 - K-SECRET Advanced Regenerating Eye Gel Patches (60 PCs),K-SECRET Advanced Regenerating Eye Gel Patches (60 PCs) | The Skin Boutique,"The Skin Boutique Curates: K-SECRET Advanced Regenerating Eye Gel Patches (60 PCs) K-SECRET Advanced Regenerating Eye Gel Patches are soothing patches that deliver deep hydration and a refreshed look, helping to smooth and brighten the delicate skin under your eyes. Formulated with pure retinol, hyaluronic acid, collag",343.20
mapepe-detangling-brush-long-hard,MAPEPE Detangling Brush (Long & Hard),"<p><strong>The Skin Boutique Curates: MAPEPE Detangling Brush (Long & Hard)</strong></p>
<p>The MAPEPE Detangling Brush features a gentle, ergonomic arch that sits comfortably against your scalp while delivering professional detangling results. Designed with strengthened, resilient pins spaced generously apart, this hard-type brush effortlessly glides through thick, frizzy, or wavy hair to reach the scalp firmly and effectively. The wide brush surface tackles even the most stubborn tangles in one pass, leaving hair noticeably smoother and more manageable.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10017,619.95,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeDetanglingBrushLongHard.png?v=1774980419,MAPEPE - MAPEPE Detangling Brush (Long & Hard),MAPEPE Detangling Brush (Long & Hard) | The Skin Boutique,"The Skin Boutique Curates: MAPEPE Detangling Brush (Long & Hard) The MAPEPE Detangling Brush features a gentle, ergonomic arch that sits comfortably against your scalp while delivering professional detangling results. Designed with strengthened, resilient pins spaced generously apart, this hard-type brush effortlessly ",321.75
mapepe-detangling-brush-hard,MAPEPE Detangling Brush (Hard),"<p><strong>The Skin Boutique Curates: MAPEPE Detangling Brush (Hard)</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Detangling Brush (Hard) by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10018,619.95,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeDetanglingBrush.png?v=1774980300,MAPEPE - MAPEPE Detangling Brush (Hard),MAPEPE Detangling Brush (Hard) | The Skin Boutique,The Skin Boutique Curates: MAPEPE Detangling Brush (Hard) Experience the best of K-Beauty with MAPEPE Detangling Brush (Hard) by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in ,321.75
mapepe-anti-static-folding-brush,MAPEPE Anti-Static Folding Brush,"<p><strong>The Skin Boutique Curates: MAPEPE Anti-Static Folding Brush</strong></p>
<p>The MAPEPE Anti-Static Folding Brush features an advanced static elimination system that neutralizes electrical charge, eliminating frizz and crackling for smoother, more manageable hair. Its compact foldable design makes it ideal for travel and everyday use, fitting easily into bags and purses. Infused with pearl powder, this brush combines functionality with a touch of luxury, delivering gentle conditioning benefits with every stroke.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10019,454.63,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeAnti-StaticComb.png?v=1774980116,MAPEPE - MAPEPE Anti-Static Folding Brush,MAPEPE Anti-Static Folding Brush | The Skin Boutique,"The Skin Boutique Curates: MAPEPE Anti-Static Folding Brush The MAPEPE Anti-Static Folding Brush features an advanced static elimination system that neutralizes electrical charge, eliminating frizz and crackling for smoother, more manageable hair. Its compact foldable design makes it ideal for travel and everyday use, ",235.95
mapepe-bathtime-haircare-comb,MAPEPE Bathtime Haircare Comb,"<p><strong>The Skin Boutique Curates: MAPEPE Bathtime Haircare Comb</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Bathtime Haircare Comb by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10020,454.63,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Mapepe_Bath_Time_Comb_1.png?v=1774980031,MAPEPE - MAPEPE Bathtime Haircare Comb,MAPEPE Bathtime Haircare Comb | The Skin Boutique,The Skin Boutique Curates: MAPEPE Bathtime Haircare Comb Experience the best of K-Beauty with MAPEPE Bathtime Haircare Comb by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in So,235.95
mapepe-hair-brush-cleaner,MAPEPE Hair Brush Cleaner,"<p><strong>The Skin Boutique Curates: MAPEPE Hair Brush Cleaner</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Hair Brush Cleaner by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10021,330.64,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Mapepe_Brush_Cleaner.png?v=1774979758,MAPEPE - MAPEPE Hair Brush Cleaner,MAPEPE Hair Brush Cleaner | The Skin Boutique,The Skin Boutique Curates: MAPEPE Hair Brush Cleaner Experience the best of K-Beauty with MAPEPE Hair Brush Cleaner by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Afri,171.60
mapepe-detangling-brush-long,MAPEPE Detangling Brush (Long),"<p><strong>The Skin Boutique Curates: MAPEPE Detangling Brush (Long)</strong></p>
<p>The MAPEPE Detangling Brush (Long) features a gentle, curved design that fits comfortably against the scalp for effortless detangling. With soft, rounded-tip pins and a wide brush surface, it works beautifully on all hair types—from fine and delicate to thick and coarse. The long handle with a comfortable rubber grip makes styling, tying, and updos simple, while the hook hole allows for convenient hanging storage.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10022-0,619.95,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Mapepe_Detangling_Brush_Long_1.png?v=1774979658,MAPEPE - MAPEPE Detangling Brush (Long),MAPEPE Detangling Brush (Long) | The Skin Boutique,"The Skin Boutique Curates: MAPEPE Detangling Brush (Long) The MAPEPE Detangling Brush (Long) features a gentle, curved design that fits comfortably against the scalp for effortless detangling. With soft, rounded-tip pins and a wide brush surface, it works beautifully on all hair types—from fine and delicate to thick an",321.75
mapepe-detangling-brush-long,,,,,,,KY-10022-1,619.95,,TRUE,TRUE,100,deny,,,,,
