Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Image Src
anua-anua-heartleaf-pore-control-cleansing-oil-200ml,"ANUA Heartleaf Pore Control Cleansing Oil (200ml)","The ultimate first cleanse for achieving 'Glass Skin'. This hypoallergenic oil uses a botanical blend of Heartleaf and premium plant oils (Jojoba, Grape Seed, Macadamia) to effortlessly melt away sunscreen, waterproof makeup, and deep-seated pore impurities. Clinically proven to reduce blackheads and whiteheads by up to 18% in four weeks, it leaves the skin exceptionally clear and refreshed without a trace of oily residue or irritation.","ANUA","Cleansers","ANUA, Cleansers",TRUE,Title,Default Title,ANUA-7964008579308,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/anua_3.png?v=1752361023
anua-anua-peach-70-niacin-serum-30ml,"ANUA Peach 70% Niacin Serum (30ml)","A luminosity-boosting serum infused with 70% Peach Extract and 5% Niacinamide to create an instant glass-skin glow. This high-performance formula targets dullness and uneven tone with Vitamin B12 and Pink Yeast, while Desert Yeast Oil and Triple Hyaluronic Acid provide multi-level hydration. The serum refines skin texture and provides a weightless, radiant finish that looks ethereal both under makeup and on its own.","ANUA","Serums","ANUA, Serums",TRUE,Title,Default Title,ANUA-8140955484396,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0t21in04pwn5u6utqmb6i8_1752359308889.png?v=1752359313
anua-anua-heartleaf-lha-moisture-peeling-gel-120ml,"ANUA Heartleaf LHA Moisture Peeling Gel (120ml)","A gentle yet powerful moisture-peeling ritual that resurfaces the skin without irritation. This hypoallergenic gel utilizes LHA (Lipohydroxy Acid) to delicately lift surface impurities and dead skin cells, while 10,000ppm Heartleaf Extract instantly calms and purifies. Infused with a Triple Hyaluronic Acid complex, it ensures the skin remains deeply hydrated and supple after exfoliation, revealing a smoother, clearer, and more refined glow.","ANUA","Exfoliants","ANUA, Exfoliants",TRUE,Title,Default Title,ANUA-8141043171564,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/lha_EDITED.png?v=1765403648
anua-anua-niacinamide-10-txa-4-dark-spot-correcting-serum-30ml,"ANUA Niacinamide 10% + TXA 4% Dark Spot Correcting Serum (30ml)","A clinical-grade brightening masterpiece that synergizes 10% Niacinamide with 4% Tranexamic Acid and 2% Arbutin. This potent trio effectively intercepts melanin pathways to visibly fade dark spots, post-acne marks, and stubborn hyperpigmentation. Infused with a soothing core of Hyaluronic Acid and botanical extracts, it illuminates the complexion while fortifying the moisture barrier, delivering a uniform, radiant glass-skin finish without irritation.","ANUA","Serums","ANUA, Serums",TRUE,Title,Default Title,ANUA-8204922290412,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Anua_Niacinamide_10_TXA_4_Direct_Beauty.png?v=1771503079
anua-anua-heartleaf-77-soothing-sheet-mask,"ANUA Heartleaf 77% Soothing Sheet Mask","The gold standard of SOS skin rescue. This premium sheet mask is saturated in highly concentrated 77% Heartleaf Extract, designed to provide immediate relief to sensitive, inflamed, or acne-prone skin. The ultra-soft microfiber sheet adheres like a second skin, ensuring maximum penetration of the anti-inflammatory essence to lower skin temperature and restore the moisture barrier. An essential K-Beauty ritual for achieving a calm, hydrated, and perfectly balanced complexion.","ANUA","Masks","ANUA, Masks",TRUE,Title,Default Title,ANUA-8148536590572,45,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/anua-us-sheet-mask-10ea-heartleaf-77-soothing-sheet-mask-1161173116.png?v=1754147915
anua-anua-heartleaf-70-intense-calming-cream,"ANUA Heartleaf 70% Intense Calming Cream","An ultra-nourishing balm designed for skin that requires intensive recovery. Formulated with 70% Heartleaf Extract and a fortified Ceramide-Protein complex, it provides a deep, breathable moisture seal that lasts for 72 hours. This calming cream actively targets severe dryness and sensitivity, utilizing a specialized 'Bio-Barrier' technology to restore integrity to compromised skin, leaving it feeling exceptionally soft, protected, and serene.","ANUA","Moisturizers","ANUA, Moisturizers",TRUE,Title,Default Title,ANUA-8147284820204,520,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Anua_70_Intense_Calming_Cream.png?v=1771859847
anua-anua-peach-77-niacin-conditioning-milk-150ml,"ANUA Peach 77% Niacin Conditioning Milk (150ml)","A luxurious milky infusion crafted with 77% Peach Extract and 2% Niacinamide to deliver a velvety, radiant complexion. This high-performance lotion utilizes a proprietary blend of Ceramides and Triple Hyaluronic Acid to strengthen the moisture barrier while neutralizing dullness. The lightweight, fast-absorbing texture provides the deep nourishment of a cream with the ethereal feel of a milk, leaving skin plump, brightened, and perfectly prepped for the ultimate 'Glass Skin' finish.","ANUA","Moisturizers","ANUA, Moisturizers",TRUE,Title,Default Title,ANUA-8147248054508,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0t173y04pon5u662lkxjnv_1752359209469.png?v=1752359213
anua-anua-heartleaf-77-clear-pad-70pcs,"ANUA Heartleaf 77% Clear Pad (70pcs)","The ultimate one-step resurfacing ritual for clear, calm skin. These dual-sided pads are saturated in 77% Heartleaf Extract and mild Gluconolactone (PHA) to gently exfoliate dead skin cells while instantly soothing inflammation. Specifically engineered for acne-prone and sensitive skin, they help refine pore texture and balance sebum production without stripping essential moisture. Perfect for achieving a smooth, clear complexion with zero downtime.","ANUA","Exfoliants","ANUA, Exfoliants",TRUE,Title,Default Title,ANUA-8031572918508,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Heartleaf_77_Clear_Pad.png?v=1754404858
anua-anua-heartleaf-quercetinol-pore-deep-cleansing-foam-150ml,"ANUA Heartleaf Quercetinol Pore Deep Cleansing Foam (150ml)","A sophisticated deep-cleansing foam engineered to purify pores while calming sensitive complexions. Infused with 3,000ppm of micro-ground Heartleaf powder and 'Quercetinol' extracted from raw Heartleaf, it gently sloughs off dead skin cells and excess sebum. The low-pH formula is enriched with an 8-fold Hyaluronic Acid complex to ensure the skin remains exceptionally soft and hydrated, making it the perfect daily ritual for oily and acne-prone skin.","ANUA","Cleansers","ANUA, Cleansers",TRUE,Title,Default Title,ANUA-7969926906092,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/anua_q_2.png?v=1752372549
anua-anua-heartleaf-70-daily-lotion,"ANUA Heartleaf 70% Daily Lotion","A sophisticated daily moisture veil that balances hydration with intense soothing power. Formulated with 70% Heartleaf Extract and a triple Hyaluronic Acid complex, this fast-absorbing lotion fortifies the skin barrier while calming environmental sensitivity. The non-sticky, breathable formula ensures long-lasting moisture retention, making it an ideal choice for maintaining a healthy, resilient, and luminous complexion throughout the day.","ANUA","Moisturizers","ANUA, Moisturizers",TRUE,Title,Default Title,ANUA-7965277454572,520,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0szv5b04pcn5u6mes84uos_1752358532920.png?v=1752358537
anua-anua-heartleaf-77-soothing-toner,"ANUA Heartleaf 77% Soothing Toner","The viral K-Beauty masterpiece for achieving pristine 'Glass Skin'. This highly concentrated toner features 77% Heartleaf Extract, renowned for its unparalleled soothing and anti-inflammatory properties. Perfectly pH-balanced to restore skin equilibrium, it rapidly calms redness, reduces breakouts, and optimizes moisture levels. This non-irritating ritual prep is the essential foundation for any skincare routine, leaving your complexion refined, clear, and exceptionally radiant.","ANUA","Toners","ANUA, Toners",TRUE,Title,Default Title,ANUA-7963906769132,420,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/anua_2.png?v=1752359036
anua-anua-heartleaf-80-soothing-ampoule,"ANUA Heartleaf 80% Soothing Ampoule","A high-potency soothing elixir designed to instantly calm distressed skin. Containing a massive 80% Heartleaf Extract, this concentrated ampoule provides a surge of anti-inflammatory relief to red, irritated, or fatigued skin. The rich, viscous texture melts into a weightless veil, delivering deep hydration and antioxidant protection without any stickiness. It's the ultimate recovery serum for achieving a resilient, glowing, and perfectly serene complexion.","ANUA","Serums","ANUA, Serums",TRUE,Title,Default Title,ANUA-7965274046700,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0sznet04pan5u6zb1swi30_1752358486345.png?v=1752358526
anua-anua-pdrn-hyaluronic-acid-capsule-100-serum-30ml,"ANUA PDRN Hyaluronic Acid Capsule 100 Serum (30ml)","A futuristic anti-aging marvel that synergizes PDRN (Salmon DNA) with an 11-fold Hyaluronic Acid complex. This high-fidelity serum utilizes a unique encapsulation technology to deliver potent skin-regenerating actives deep into the dermis. It actively promotes collagen synthesis, reverses environmental damage, and provides multi-level plumping for an unparalleled firming effect. Each application leaves the skin visibly denser, more elastic, and radiating a youthful, hydrated glow.","ANUA","Serums","ANUA, Serums",TRUE,Title,Default Title,ANUA-8756130447596,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_PDRN_Hyaluronic_Acid_Capsule_100_Serum_30ml.png?v=1772984035
anua-anua-7-rice-ceramide-hydrating-barrier-serum-50ml,"ANUA 7 Rice Ceramide Hydrating Barrier Serum (50ml)","A nourishing milky masterpiece designed to fortify the skin's moisture barrier while delivering a porcelain glow. Powered by the proprietary 'RICERA' complex—a fusion of 7 distinct Rice Extracts and premium Ceramides—this serum repairs compromised skin and neutralizes dullness. Fortified with 3% Niacinamide and Zinc to refine pores and balance sebum, it leaves the complexion exceptionally smooth, hydrated, and emitting a sophisticated luminosity.","ANUA","Serums","ANUA, Serums",TRUE,Title,Default Title,ANUA-8585851076844,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_7_Rice_Ceramide_Hydrating_Barrier_Serum_50ml.png?v=1772983389
ariul-smooth-pure-foot-mask-special-care-set-tea-tree-aloe-2-pairs,"Smooth & Pure Foot Mask Special Care Set Tea Tree & Aloe (2 Pairs)","The ultimate two-step spa ritual for perfectly smooth feet. This professional-grade set features a specialized peeling mask with Tea Tree and Lactic Acid to gently shed calluses, followed by a soothing Aloe moisture mask to hydrate and protect. Designed for high-fidelity foot care, it reveals soft, revitalized 'Glass Slipper' skin within 7-10 days, making it an essential treatment for rough, tired feet.","ARIUL","Bath & Body","ARIUL, Bath & Body",TRUE,Title,Default Title,ARIUL-9024611254508,195,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/AriulTeaTree_Aloe.png?v=1759108697
ashirira-ashirira-foot-relax-sheet-ginger-1-box-30-pcs,"Ashirira Foot Relax Sheet: Ginger (1 BOX / 30 PCs)","A foot sheet using natural bamboo tree sap to relax and detox during your sleep. Ashirira Foot Relax Sheet is a must-have foot product that detoxifies and relaxes tired, swollen feet. Simply apply the sheet on clean feet before bed and wake up to refreshed feet the next day! Watch how the sheet changes to various shades of brown as the bamboo sap powder absorbs the excess fluid and toxins from your feet. Bamboo tree sap powder has been widely used in traditional medicine for its anti-bacterial, anti-septic, anti-inflammatory and antioxidant properties. Combined with the concept of traditional reflexology, this product effectively targets the reflex points to also improve blood circulation, metabolism, sleep quality and overall health. Whether you've sat, walked or stood all day, this product is perfect for relaxing those hardworking feet! In addition to improved blood circulation and immunity, choose the one that suits your needs the most: Titanium ( pink ) : Relieves muscle joint and muscle pain; for sensitive skin Grapefruit ( orange ) : Promotes weight loss and digestion Mugwort ( green ) : Detoxify and cleanse, improves dry skin Red Pepper ( red ) : Warms body and improves circulation Ginger (gold): Promotes digestion and regulates bowel movements, anti-inflammatory Rose ( blue ) : Improves skin complexion, anti-inflammatory Concerns Constipation/Digestion issues Inflammation Menstrual pain Skin Types Suitable for all skin types Made In Japan How to use Open package to reveal adhesive sheet and foot pad. Place detox foot pad on center of adhesive sheet (printed side facing down). Peel off the rest of the adhesive cover and apply adhesive (with foot pad in it) on clean, dry foot before bed. Repeat on the other foot and remove upon waking up. Wash off any sticky residue. TIP: This can also be used on any other areas of soreness (e.g., shoulder, neck, knees, calves) Ingredient Highlights Natural","Ashirira","Bath & Body","Ashirira, Bath & Body",TRUE,Title,Default Title,ASHIRIRA-7918044217580,475,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Ashirira_Foot_Relax_Sheet_Ginger_1_BOX_30_PCs.png?v=1772984959
axis-y-biome-recharging-night-renewal-set-2pcs,"Biome Recharging Night Renewal Set (2pcs)","A high-performance overnight renewal system designed to recharge the skin's biome and restore its natural resilience. This dual-action set includes the Biome Recharging Enhanced Night Balm and the 10 Panthenol Supporting Concentrate. Formulated with a Special Biome Blend of 5 distinct prebiotics and probiotics, it actively repairs the moisture barrier and neutralizes environmental stress while you sleep, revealing a revitalized, healthy-looking 'Glass Skin' glow by morning.","AXIS-Y","Moisturizers","AXIS-Y, Moisturizers",TRUE,Title,Default Title,AXIS-Y-7915099783404,620,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Biome_Recharging_Night_Renewal_Set.png?v=1767587562
axis-y-txa-25-intensive-brightening-cream-50ml,"TXA 2.5% Intensive Brightening Cream (50ml)","A silicone-free brightening masterpiece engineered to fade stubborn dark spots and unify skin tone. Powered by a clinical-grade synergy of 2.5% Tranexamic Acid and 2.5% Niacinamide, this balm-like cream intercepts melanin pathways to visibly reduce hyperpigmentation. Infused with Glutathione and a soothing core of Cica, it delivers deep hydration and a silky, radiant finish without any heavy residue, making it ideal for sensitive and translucent complexions.","AXIS-Y","Moisturizers","AXIS-Y, Moisturizers",TRUE,Title,Default Title,AXIS-Y-9063434027244,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/TXACream_Thumbnail_1-Photoroom.png?v=1762189560
bcl-bcl-saborino-morning-facial-sheet-mask-moisture-rich-30pcs,"BCL Saborino Morning Facial Sheet Mask Moisture Rich (30pcs)","A special care face mask to freshen the skin after waking up. B&amp;C Lab (aka BCL) Saborino Morning Facial Sheet Mask Moisture Rich features a renewed ""watertight veil formula"" that delivers serum more effectively and efficiently to the skin. It features two types of vitamin C, plus moisturizing ingredients inspired by the 22-year old's skin, which contains the ideal balance of moisture and sebum. In just 60 seconds, it refreshes the skin upon waking. This mask improves skin elasticity and reduces eye puffiness and helps control sebum. Featuring a mixed berry scent. Features Stretchy cotton sheet mask Tightens and soothes the skin Helps control excess sebum Refreshing and moisturizing Skin Types Suitable for all skin types, including sensitive skin Skin Concerns Dehydrated Skin Anti-Aging Oil Control Made In JAPAN 🇯🇵 How to use After cleansing in the morning, remove 1 sheet mask and stretch it to fit perfectly to the face. Carefully unfold the mask and apply to the skin for 60 seconds (up to 5-10 minutes for very dry skin). Remove mask and gently dab the remaining essence on the face. You are ready for makeup! Ingredients Ingredient Highlights Silicone-Free Sulfate-Free","BCL","Masks","BCL, Masks",TRUE,Title,Default Title,BCL-8478619402476,45,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Screenshot_2024-05-24_at_9.31.51_PM.png?v=1716600722
bcl-bcl-saborino-morning-facial-sheet-mask-32pcs,"BCL Saborino Morning Facial Sheet Mask (32pcs)","A special care face mask to freshen the skin after waking up. B&amp;C Lab (aka BCL) Saborino WMorning Facial Sheet Mask is a 3-in-1 face mask that has cleansing, skincare, and primer (base) benefits all in one quick, easy step. It is formulated with 10 different moisturizing , including hyaluronic acid, collagen, and honey, among others. Skin is left feeling refreshed and nourished after just 60 seconds! Featuring a pleasant fruity scent. Features Stretchy cotton sheet mask 10 moisturizing ingredients 3-in-1 (cleansing, skincare, primer) Refreshing and moisturizing Skin Types Suitable for all skin types Skin Concerns Dehydrated Skin Rough Skin Made In JAPAN 🇯🇵 How to use After cleansing in the morning, remove 1 sheet mask and stretch it to fit perfectly to the face. Carefully unfold the mask and apply to the skin for 60 seconds (up to 5-10 minutes for very dry skin). Remove mask and gently dab the remaining essence on the face. You are ready for makeup! Ingredients Ingredient Highlights Silicone-Free Sulfate-Free","BCL","Masks","BCL, Masks",TRUE,Title,Default Title,BCL-8478618386668,45,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/BCL_Saborino_Morning_Facial_Sheet_Mask__32pcs_-removebg-preview.png?v=1766163501
bcl-bcl-saborino-good-night-facial-sheet-mask-30pcs,"BCL Saborino Good Night Facial Sheet Mask (30pcs)","A 5-in-1 sheet mask that makes for an easy bedtime routine. B&amp;C Lab (aka BCL) Saborino Good Night Facial Sheet Mask is a one-step sheet mask that replaces your lotion (toner), serum, moisturizer, face cream, and mask pack in a single product. In just 60 seconds, it rejuvenates the skin, exfoliates, and moisturizes deeply. It is formulated with gentle fruit acid (exfoliating), collagen, hyaluronic acid, and honey. Each mask is made of a thick stretchable cotton sheet to fit faces of all sizes. Featuring a relaxing scent to help you unwind and fall asleep after a long day. Features Stretchy cotton sheet mask Chamomile orange fragrance Gently exfoliating Moisturizing Skin Types Suitable for all skin types Skin Concerns Dehydrated Skin Rough Skin Made In JAPAN 🇯🇵 How to use After cleansing in the evening, remove 1 sheet mask and stretch it to fit perfectly to the face. Carefully unfold the mask and apply to the skin for 60 seconds (up to 5-10 minutes for very dry skin). Remove mask and gently dab the remaining essence on the face. Ingredient Highlights Silicone-Free Sulfate-Free","BCL","Masks","BCL, Masks",TRUE,Title,Default Title,BCL-8478599086316,45,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Untitleddesign_2.png?v=1716601086
beauty-of-joseon-dynasty-cream-50ml,"Dynasty Cream (50ml)","Experience the ultimate in Hanbang (traditional Korean herbal medicine) skincare with this luxurious, firming moisturizer. Engineered with 29% Rice Bran Water and 5% Ginseng Root Water, it skillfully delivers deep nourishment and a lasting glow. Fortified with Honey extract and Ceramide NP, this multi-functional cream smooths fine lines while ensuring your skin remains plump and hydrated throughout the day.","Beauty of Joseon","Skincare","Beauty of Joseon, Skincare",TRUE,Title,Default Title,BOJ-DYNASTY-50ML,490,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_100_99f4d3bb-4d7d-4342-a823-2e32c1e60b80.png?v=1769089503
beauty-of-joseon-relief-sun-aqua-fresh-rice-b5-50ml,"Relief Sun : Aqua-Fresh (Rice + B5) (50ml)","A sheer and weightless sun cream that delivers high SPF50+ PA++++ protection without the greasy feel. Engineered with 30% Rice Seed Water and Panthenol (B5), it skillfully provides refreshing hydration while soothing skin stressed by UV exposure. Fortified with Hyaluronic Acid, this watery formula glides on smoothly with no white cast, making it perfect for oily and combination skin types.","Beauty of Joseon","Skincare","Beauty of Joseon, Skincare",TRUE,Title,Default Title,BOJ-RELIEF-AQUA,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Relief_Sun_Aqua-Fresh_Rice_B5.png?v=1772989575
beauty-of-joseon-glow-serum-propolis-niacinamide-30ml,"Glow Serum : Propolis + Niacinamide (30ml)","Reveal your healthiest, most radiant ""honey skin"" with this antiseptic and anti-inflammatory glow serum. Engineered with 60% Propolis Extract and 2% Niacinamide, it skillfully manages sebum production while ensuring deep hydration. Fortified with BHA (Betaine Salicylate), it calms and heals acne-prone skin, leaving your complexion refined and brightened.","Beauty of Joseon","Skincare","Beauty of Joseon, Skincare",TRUE,Title,Default Title,BOJ-GLOW-SERUM,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/BOJ_Glow_Serum.png?v=1774979172
beauty-of-joseon-revive-eye-serum-ginseng-retinal-30ml,"Revive Eye Serum : Ginseng + Retinal (30ml)","Wake up to visibly smoother and firmer under-eyes with this advanced retinal formulation. Engineered with 10% Ginseng Root Extract and 2% Retinal Liposome, it skillfully targets fine lines and loss of elasticity. Fortified with Niacinamide and Peptides, this silky serum delivers deep nourishment while minimizing irritation for a rejuvenated look.","Beauty of Joseon","Skincare","Beauty of Joseon, Skincare",TRUE,Title,Default Title,BOJ-EYE-SERUM,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Beauty_of_Joseon_Revive_Eye_Serum_Ginseng___Retinal__30ml_-removebg-preview.png?v=1766165762
